Tiger	Katze	7.35
Tiger	Tiger	10.00
Ebene	Auto	5.77
Zug	Auto	6.31
Fernsehen	Radio	6.77
Medien	Radio	7.42
brot	Butter	6.19
Gurke	Kartoffel	5.92
Arzt	Krankenschwester	7.00
Professor	Arzt	6.62
Student	Professor	6.81
schlau	dumm	5.81
Holz	Wald	7.73
Geld	Kasse	9.15
Koenig	Koenigin	8.58
Koenig	Turm	5.92
Bischof	Rabbi	6.69
Fussball	Fussball	9.03
Fussball	Basketball	6.81
Fussball	Tennis	6.63
Arafat	Jackson	2,50
Physik	Chemie	7.35
Wodka	Gin	8.46
Wodka	Brandy	8.13
trinken	essen	6.87
Auto	Automobil	8,94
Juwel	Juwel	8,96
Reise	Reise	9.29
Junge	Junge	8.83
Kueste	Ufer	9.10
Asyl	Irrenhaus	8.87
Zauberer	Magier	9.02
Mittag	Mittag	9.29
Ofen	Herd	8.79
Essen	Frucht	7.52
Vogel	Schwanz	7.10
Vogel	Kran	7.38
Essen	Hahn	4.42
Geld	Dollar	8.42
Geld	Waehrung	9.04
Tiger	Jaguar	8.00
Tiger	katzenartig	8.00
Tiger	Fleischfresser	7.08
Tiger	Saeugetier	6,85
Tiger	Tier	7.00
Tiger	Organismus	4.77
Tiger	Fauna	5.62
Psychologie	Psychiatrie	8.08
Psychologie	Wissenschaft	6.71
Psychologie	Disziplin	5.58
Planet	Stern	8.45
Planet	Mond	8.08
Planet	Sonne	8.02
Praezedenzfall	Beispiel	5.85
Praezedenzfall	Vorlaeufer	6.04
Tasse	Geschirr	6,85
Tasse	Artefakt	2.92
Tasse	Objekt	3.69
Tasse	juristische Person	2.15
Jaguar	Katze	7.42
Jaguar	Auto	7.27
Meile	Kilometer	8.66
Haut	Auge	6.22
japanisch	amerikanisch	6.50
Jahrhundert	Jahr	7.59
Bekanntmachung	Nachricht	7.56
Arzt	Personal	5.00
Harvard	Jale	8.13
Krankenhaus	Infrastruktur	4.63
Leben	Tod	7.88
reisen	Aktivitaet	5.00
Typ	Art	8,97
Strasse	Ort	6.44
Strasse	Allee	8.88
Strasse	Block	6.88
Zelle	Telefon	7.81
Dividende	Zahlung	7.63
Berechnung	Berechnung	8.44
profitieren	Verlust	7.63
Dollar	Yen	7.78
Dollar	Bock	9.22
Telefon	Ausruestung	7.13
fluessig	Wasser	7,89
Marathon	Sprint	7.47
Meeresfruechte	Essen	8.34
Meeresfruechte	Hummer	8.70
Hummer	Essen	7.81
Hummer	Wein	5.70
Meisterschaft	Turnier	8.36
Mann	Frau	8.30
Mann	Gouverneur	5.25
Mord	Totschlag	8.53
Oper	Leistung	6.88
Mexiko	Brasilien	7.44
Glas	Metall	5.56
Aluminium	Metall	7.83
Felsen	Jazz	7.59
Museum	Theater	7.19
Dusche	Gewitter	6.31
Moench	Orakel	5.00
Tasse	Essen	5.00
Tagebuch	Verband	4,97
Strasse	Kinder	4,94
Auto	Flug	4,94
Raum	Chemie	4,88
Situation	Abschluss	4.81
Wort	Aehnlichkeit	4.75
Frieden	planen	4.75
Verbraucher	Energie	4.75
Ministerium	Kultur	4.69
schlau	Student	4.62
Untersuchung	Bemuehung	4.59
Bild	Oberflaeche	4.56
Leben	Begriff	4,50
Start	passen	4.47
Computer	Nachricht	4.47
Planke	Empfehlung	4.47
Junge	Bruder	4.46
Ueberwachung	die Architektur	4.38
Kueste	huegel	4.38
Einsatz	Abfahrt	4.25
Benchmark	Index	4.25
versuchen	Frieden	4.25
Verbraucher	Vertrauen	4.13
Start	Jahr	4.06
Fokus	Leben	4.06
Entwicklung	Ausgabe	3,97
Theater	Geschichte	3.91
Situation	Isolation	3,88
profitieren	Warnung	3,88
Medien	Handel	3,88
Chance	Glaubwuerdigkeit	3,88
Praezedenzfall	Information	3,85
die Architektur	Jahrhundert	3.78
Bevoelkerung	Entwicklung	3,75
Aktie	live	3.73
Frieden	Atmosphaere	3.69
Moral	Hochzeit	3.69
Minderheit	Frieden	3.69
Atmosphaere	Landschaft	3.69
Bericht	gewinnen	3.63
Musik	Projekt	3.63
Sieben	Serie	3.56
Erfahrung	Musik	3.47
Schule	Center	3.44
fuenf	Monat	3.38
Bekanntmachung	Produktion	3.38
Moral	Bedeutung	3.31
Geld	Betrieb	3.31
Verzoegerung	Nachricht	3.31
Gouverneur	Interview	3.25
ueben	Institution	3.19
Jahrhundert	Nation	3.16
Kueste	Wald	3.15
Ufer	Wald	3.08
trinken	Auto	3.04
Praesident	Medaille	3.00
Vorurteil	Erkennung	3.00
Zuschauer	seriell	2,97
Frieden	Versicherung	2,94
Mars	Wasser	2,94
Medien	gewinnen	2,88
Praezedenzfall	Erkenntnis	2.81
Bekanntmachung	Bemuehung	2,75
Linie	Versicherung	2.69
Kran	implementieren	2.69
trinken	Mutter	2.65
Oper	Industrie	2.63
Freiwilliger	Motto	2.56
Auflistung	Naehe	2.56
Praezedenzfall	Sammlung	2,50
Tasse	Artikel	2.40
Zeichen	Aussparung	2.38
Problem	Flughafen	2.38
Grund	Hypertonie	2.31
Richtung	Kombination	2.25
Mittwoch	Nachricht	2.22
Glas	Zauberer	2.08
Friedhof	Wald	2.08
Wahrscheinlichkeit	Maedchen	1,94
Tasse	Substanz	1.92
Wald	Friedhof	1,85
Aktie	Ei	1.81
Monat	Hotel	1.81
Energie	Sekretaer	1.81
Praezedenzfall	Gruppe	1,77
Produktion	Wanderung	1,75
Aktie	Telefon	1.62
heilig	Sex	1.62
Aktie	CD	1.31
trinken	Ohr	1.31
Verzoegerung	Rassismus	1.19
Aktie	Leben	0,92
Aktie	Jaguar	0,92
Moench	Sklave	0,92
Junge	Magier	0,92
Zucker	Ansatz	0,88
Hahn	Reise	0,62
Mittag	Schnur	0,54
Akkord	laecheln	0,54
Professor	Gurke	0,31
Koenig	Kohl	0,23
