alt	neu	1.58
schlau	intelligent	9.2
hart	schwierig	8.77
Gluecklich	heiter	9.55
hart	einfach	0,95
schnell	schnell	8.75
Gluecklich	froh	9.17
kurz	lang	1.23
dumm	stumm	9.58
seltsam	seltsam	8.93
breit	eng	1.03
schlecht	abscheulich	8.42
einfach	schwierig	0,58
schlecht	abscheulich	7.78
hart	einfach	1.38
schlau	stumm	0,55
verrueckt	verrueckt	9.57
Gluecklich	verrueckt	0,95
gross	riesig	9.47
hart	hart	8.05
neu	frisch	6.83
scharf	langweilig	0,6
schnell	schnell	9.7
stumm	toericht	6.67
wunderbar	ausgezeichnet	8.63
seltsam	seltsam	9.02
Gluecklich	wuetend	1.28
eng	breit	1.18
einfach	einfach	9.4
alt	frisch	0,87
ersichtlich	offensichtlich	8.47
preiswert	billig	8.72
Huebsch	grosszuegig	5
seltsam	normal	0,72
seltsam	seltsam	9.2
schlecht	unmoralisch	7.62
traurig	lustig	0,95
wunderbar	Grossartig	8.05
schuldig	beschaemt	6.38
Schoen	wunderbar	6.5
zuversichtlich	Sicher	8.27
stumm	dicht	7.27
gross	gross	9.55
Huebsch	grausam	0,67
ungeduldig	aengstlich	6.03
gross	breit	6.73
stark	stolz	3.17
unnoetig	notwendig	0,63
unruhig	jung	1.6
stumm	intelligent	0,75
schlecht	Grossartig	0,35
schwierig	einfach	0,87
notwendig	wichtig	7.37
schlecht	ausgezeichnet	0,65
verrueckt	froh	1.45
ehrlich	schuldig	1.18
einfach	hart	0,52
einfach	flexibel	4.1
bestimmt	Sicher	8.42
essentiell	notwendig	8,97
anders	normal	1.08
listig	clever	7.25
zentral	wichtig	8.82
harsch	grausam	8.18
kindisch	toericht	5.5
spaerlich	selten	9.17
freundlich	grosszuegig	5.9
zerbrechlich	kalt	2.38
lang	eng	3.57
gross	schwer	6.18
rauh	kalt	2.47
bizarr	seltsam	9.37
illegal	unmoralisch	4.28
schlecht	schuldig	4.2
modern	alt	0,73
neu	alt	0,23
langweilig	lustig	0,55
Gluecklich	jung	2
einfach	gross	1.12
Grossartig	abscheulich	1.17
winzig	riesig	0,6
hoeflich	richtig	7.63
bescheiden	beschaemt	2.65
exotisch	selten	8.05
stumm	clever	1.17
herrlich	wunderbar	8.65
bemerkbar	offensichtlich	8.48
besorgt	aengstlich	5.07
formell	richtig	8.02
trist	langweilig	8.25
herrlich	heiter	6.58
unzufrieden	verrueckt	5,95
traurig	abscheulich	5.4
krank	verrueckt	3.57
gewalttaetig	wuetend	6,98
beladen	schwer	5.9
schmutzig	billig	1.6
elastisch	flexibel	7.78
hart	dicht	5.9
juengste	neu	7.05
deutlich	stolz	3,97
listig	seltsam	1,97
seltsam	listig	2.07
stumm	selten	0,48
listig	hart	0,58
ausgezeichnet	verrueckt	0,4
bescheiden	flexibel	0,98
frisch	breit	0,4
riesig	stumm	0,48
gross	flexibel	0,48
schmutzig	eng	0,3
Gattin	Ehemann	2.3
Buch	Text	6.35
Braeutigam	Braut	3.17
Nacht	Tag	1,88
Sued	Norden	2.2
Ebene	Flughafen	3.65
Onkel	Tante	5.5
Pferd	Stute	8.33
Unterseite	Spitze	0,7
Freund	Kumpel	8.78
Student	Schueler	9.35
Welt	Globus	6.67
Bein	Arm	2,88
Ebene	Jet	8.1
Frau	Mann	3.33
Pferd	Fohlen	7.07
